"tweet_id","texto_tweet","sentimiento"
148,"A ver, que necesito para ser streamer y conseguir seguidores? -Cam -Micro -Subir algo decente -Tetas  Me faltan las tetas ya no puedo",0
149,"@user es lo que tiene ser el mejor",1
150,"@user Que tengas un fantástico día Caeli",2
151,"Mañana vuelvo a trabajar después de 15 días de vacaciones. Donde quedan los 3 meses de verano de pequeños?  #QueDuroEsSerAdulto",0
152,"@user @user @user es un término coloquial, no un análisis",1
153,"@user @user @user Gran programa pero se extraña a Leto !",2
154,"@user sabran los jueces quê es honestidad? ?..y respeto? ?..no postulaba a un mercado de abastos. .si claro p lo q le interesa",0
155,"@user Ayer la gente de mi FB se portó mejor que la de mi TL de TW en relación con el tema de los himnos...",1
156,"Los miércoles son lindos, quedarme en casa hasta las 10am me parece un lujo",2
157,"¿Habrá algo peor que no traer los audífonos a la chamba? Estoy muriendo lentamente",0
158,"@user pucha, yo completé el pokedex Perú, solo me faltan los regionales que dudo los consiga y a esperar los legendarios",1
159,"Hoy se acaba la fiesta más bonita del año! #últimodíadenavidad #bajadadereyes…",2
160,"Pobre ilusa yo, pensé que me haríais algo de caso por una vez",0
161,"@user @user Además cuando dice que se casaría con Ash  o cuando visten de yukata juntos en el festival ayy",1
162,"""No tenemos la sensación de ir a un trabajo"", din os @user  Eu na ofi lendo o @user, tampouco a teño  http",2
163,"@user @user @user @user @user @user Triste q nada cambie para las mujeres en política en 30 años",0
164,"Tambien subire el changelog a lo largo de estos dias, estaros preparados porque viene todo de golpe!",1
165,"@user Tambien un buen domingo para ti Fercito, y que tengas una linda semana amigo lleno de aventuras , Saludos de mis tías",2
166,"Yo no me la juego con las mierdas de la suerte, ya tengo muy mala suerte como pa jugarmela",0
167,"¿Os apetece un directo hablando del partido y un poco de la jornada en general? Si veo muchos likes en este tweet me animo",1
168,"@user @user @user las tengo pero aún no las he leído. Caerán prontito",2
169,"Vengo hasta Carabanchel para estudiar pero la biblioteca esta cerrada",0
170,"Seré breve: quiero yuquitas y por mi chamba no venden",1
171,"@user ¡Enhorabuena! Eres la ganadora del sorteo,escríbenos por mensaje privado para darte el premio",2
172,"Era a la 6 que me quería levantar, no a las 5:15 con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo",0
173,"El era como un profe de ingles gratis para mi , noooooo #VideoMTV2016 @user",1
174,"Y se acabó El Oso el Tigre y los demás fue bueno mientras duró",2
175,"Es que por las noches en mi cuarto y mi sobremesa me angustio sabéis  Me vengo al sofá con el portátil y el ventilador y eso",0
176,"@user Yo estoy valorando Movistar. Son careros, pero tienen buenas ofertas para el primer año. Y luego ya se verá...  @user",1
177,"me encantaría mucho tener una buena cámara y saber como usarla a la perfección",2
178,"Cuando contrato 500mbs extra y llevo consumido 3 Gb JAJAJA cuando vea la factura no habrá tanta risa",0
179,"Casi me quedo dormido en el bus hasta Trujillo",1
180,"@user gracias por tu atenta y puntual bienvenida al curso online. Va a ser un placer trabajar contigo",2
181,"Quieras o no, vivir rodeada de mar, te influye.  Paso un par de semanas sin ir a la playa y ya me hace falta.",0
182,"@user MEMEO AJAJAJ Pues yo llevo.. 3 años sin dar educación física",1
183,"Estoy contenta, acabo de ver que los gustos que en algún momento transmití sobre una banda en específica, ha llegado a otra persona más.",2
184,"que te echo de menos cosa chicaa!   http",0
185,"@user @user @user @user ...""futbolizando"" la afición auitomovilística.",1
186,"Ey @user me gustaría escuchar #UnMinutoSinDolor, nuevo single promocional de @user en #LaMejorVariedadMusical de @user",2
187,"Preferiría discutir con un umpalumpa que con un (a) cristiano (a) conservador (a) de derecha.",0
188,"A un paso de darle una vuelta completa a nuestro sol Lov u @ El Tizón",1
189,"Una pizza. Una conversación amena. Amigos. Buena noche",2
190,"Massimo Bottura está en América. Está en México. Y yo estoy aquí, acostada en mi cama, sufriendoooo!!! Quiero conocerlo",0
191,"@user llego a saber que zafreo es igual a cerveceo y voy",1
192,"Buenos días amigos de Facebook   ¡¡Volvemos a tener Granizados de… http",2
193,"Soy la peor basura del mundo porque, justo hoy Andrea tenía que verme con otra mujer, que mal me sentí.",0
194,"@user yo me mande a traer una XL por ebay y me queda enorme y eso que estoy panzon jaja",1
195,"El día 2 tengo los exámenes, suena lejano pero es la semana que viene jajaxd",2
196,"Desesperada estoy, trabajaré en cualquier cosa",0
197,"@user Hahahaha no me enoja. Solo juego aunque es cierto",1
198,"@user ¡muchísimas gracias Blanca! La verdad es que es un plato fácil pero muy rico y vistoso",2
199,"Estoy segura que esta fue mi última entrevista a Jaime Saavedra como ministro de Educación. Vamos a perder un gran ministro.",0
200,"@user @user es que hablo de sus correos corporativos en sus PCs",1
201,"Pensé que los hacías y compartias por aquí en plan espontáneo, no que tenías una cuenta específica @user. Follow you now again  .",2
202,"@user porque si digo que quiero mamón chino me dicen una vulgaridad",0
203,"Ay Dios he pecado, pero es que ese bikini estaba re lindo y necesitaba bronceador",1
204,"Me voy mañana para la playa, confiando que el sol me quite esta gripe tan horrible.",2
205,"@user Eso es antiguo ya",0
206,"No Dennis, no puedes cometer los mismo errores, es hora de cambiar y cometer nuevos errores",1
207,"@user y si puedo trabajar en Madrid, Buenos Aires o Bogotá yo sería también muy feliz hihihihi",2
208,"@user Llévales bibliografía! La evidencia en educación médica existe",0
209,"@user pero podrías rescatar las cosas buenas que te pasaron ánimos",1
210,"@user que te vaya bien por Murcia mala persiana",2
211,"@user ooops cierto. Me mata @user",0
212,"Último dia en Elche, ahora toca Benidorm",1
213,"@user jajajaja yo creo que esa fue improvisto eh! muchas grasias hermosa!!",2
214,"@user pura vida. Ya llamé pero fue como no haber llamado.",0
215,"@user Ya ves, parece un comic más maduro pero el dibujo se delata solo",1
216,"Tenemos nueva actualizacion en F1 2016! Muchos cambios y mejoras   http",2
217,"Me gustaría que Movistar no me deje colgado sin internet después de haberme ido de Orange",0
218,"@user hmmmm no sé, aún las siento pegadas en el cielo de la boca",1
219,"Segunda sesión del día y ahora ya voy notando la adaptación    Muy cómodo  En ocasiomes hago… http",2
220,"Estos días me encuentro muy débil... espero que se me pase pronto!!!",0
221,"@user Cual es tu helado favorito y comida? Como te parecio Costa Rica cuando viniste y a donde fuiste? Sigueme pls saludos bye",1
222,"@user Jajaja ahí tenemos gustos diferentes pero así tb se puede hablar de todo  #TonyYSorayaEnMalaga",2
223,"@user pff... Cada vez tengo más claro qje soy mura rara",0
224,"@user una gran oportunidad para que disfrutemos (con @user ) de su trabajo...",1
225,"No hay nada mejor que ver el estreno de #RogueOne con la mejor compañía",2
226,"@user yo lo único e puedo rescatar es TØP y Coldplay,pero no tengo un cinco.",0
227,"2 meses que parecen una eternidad. no sabes como me haces falta mi querida abuelita",1
228,"@user Qué buena pinta.. se parece mucho a un ""suquet de rape"" por aquí",2
229,"@user Porque era el primer semestre y te daba miedo faltar. A ver si este año nos abandonas menos.",0
230,"@user acabo de subir una foto con él, pero es el mismo nombre que mi twitter",1
231,"Pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche",2
232,"Como dice @user , se escapa otro verano en un furgón blindado    @salaBBK #Bilbao #QuiqueGonzález  http",0
233,"@user Exacto! Todo lo que él hace lo hace con el corazón y desde el corazón",1
234,"Bueno, ya he montado la biblioteca y de no tener espacio, con ella me sobran huecos jajaja En unos años estara llenita",2
235,"Con lo que voy a gastar comprándome algo para halloween me compro una mudada y de paso la entrada en 5 mil",0
236,"mi hermoso @user esta que hace live en ig y no puedo ver me quiero morir queria un saludo para las @user",1
237,"La final de @user esta esta muy interesante",2
238,"mi vida es una mierda primero me enamoro de un macedonio en ibiza y ahora del timbales de la panorama",0
239,"Estoy bien  Muchas gracias a aquellos que preguntais, el problema es que hoy no me dieron cita.. dijeron que imposible",1
240,"Es que es taaaaaan bonito",2
241,"Pero tenemos fe en que el TEC sea igual de masoquista que siempre y nos haga ir a como de lugar.",0
242,"Miraflores dime que dentro de ti hay buenos polos",1
243,"Recuerdo cuando le escribía a mi hermana @user para que me motivara y me hiciera sentir útil. Dios me dio a la mejor hermana",2
244,"@user @user jaja y por que lo peor, los juegos de Ubisoft no son tan malos, lo que si es un poco malo es ser solo de Sony",0
245,"@user no porque no los tienes activados a todos",1
246,"La vida hay que verla de manera optimista. Hay que luchar, hay que ser fuertes ante todo.",2
247,"@user una especie de Titanic pero en versión cutre no?",0
248,"@user hola, te contamos que el incidente que tuvimos con el aspersor ya se solucionó ¡Te esperamos pronto!",1
249,"Hoy fue la primera vez en 20 años de vida que me comí un Chifrijo jaja Sabía rico, pero si el chicharron no tuviese pellejo sería mejor",2
250,"@user su madre sé suicido y la encontró Chelo muerta",0
251,"@user FELIZ CUMPLEAÑOS JULIAN Z ! q Dios te bendiga muchísimo, un fuerte abrazo desde Huacho",1
252,"@user Buenos días, un éxito su maratonica, yo me sumé y sé que van a llevar mucha alegría a personas que están sufriendo",2
253,"@user Me enamoré de una bruja, dos veces, es que no hay tanto gato so cansino",0
254,"Ojalá todos tuvieran un techo y comida y pasar una buena noche buena",1
255,"Recibir este nuevo año en familia es lo más bonito y con un corazón agradecido por tanta bendición de nuestro amado Dios. #Feliz2017",2
256,"Ha muerto mi profesora de volumen/escultura y en serio que bajonazo",0
257,"@user No lo soy lemado",1
258,"@user que yo soy fiel tío",2
259,"@user ni siquiera llegué para ver las competiciones de Río en directo, solo las barras asimétricas de Aliya",0
260,"¡Hola @user! Una pregunta? La visita a la fábrica es gratuita o hay que pagar algo? Un saludo bonicos y bonicas mios!",1
261,"@user esa está genial en serio, vamos, vamos un día",2
262,"Ya se que soy lo peor pero jo",0
263,"@user somos dos! jaja ahora eres Martín? oye voy para Lima el prox mes, para el reencuentro d la u, avisas si estarás por esos días",1
264,"Algo bueno que le puedo encontrar al incendio de Villava es que esta tan cerca del Instituto... seria una pena que se quemase...",2
265,"El problema de las ofertas ahorita, esque no llegó al mínimo para regalarle a mi amigo secreto. Y siento que lo voa estafar",0
266,"-Amor 1:02 : Acabo de ver a mi hermana con su pretendiente -Camila Díaz 1:03 : uyyy no te exhaltes es normal jaja -Amor 1:04:Casi le pego",1
267,"@user se habia puesto octavo pero en la última vuelta se ha puesto 4",2
268,"Tan desesperado que hasta stalkea",0
269,"@user Yo tengo un par, pero son sólo R",1
270,"@user Es una buena forma de dar la bienvenida a mi casa",2
271,"me cago en dios ya no soy teen el cumpleaños más triste de mi vida",0
272,"Me recomendais alguna silla gaming buena please",1
273,"@user tengo que hablar todavía con las librerías pero a ver si cae la primera este mes ya  @user",2
274,"@user una oleada de cosas homófobas días anteriores",0
275,"me olvide de un pequeño detalle y ahora debo ir a Wong",1
276,"@user @user @user @user @user felicidades chicos !!nosotros como vuestros fans estamos super orgullosos",2
277,"Tan sólo es un mal día no una mala vida",0
278,"Que ganas de cagarla y decirle a mis papás que no se quedó donde una amiga si no donde su nuevo novio",1
279,"@user ahh ya ya jajaja. Bueno, buenas noches, que descanse",2
280,"@user Yo mismo quiero hacerlo pero muchas veces me da pereza y me enfado conmigo mismo",0
281,"@user oye pero es carbohidrato",1
282,"Soy muy poco cariñoso pero el amor esta",2
283,"@user hoy te he visto (y tu a mi) y no me has saludado, mala gente  (no te dije nada porque ibas acompañada)",0
284,"Todos vamos a ser puteados mañana, bonita Navidad eh #despedidos",1
285,"@user La vida nos lleva por caminos inextricables jajaja Me alegro de que te haya molado el programa de hoy",2
286,"Mi imposible quiere irse a Europa. Yo tenía pequeñas esperanzas sabiendo que era imposible, pero ahora se las lleva para Europa",0
287,"@user pero no es lo mismo",1
288,"@user que nos regales con capturas de imagen de tus actividades ya no es sorpresa. Lo sorprendente es que tienes inivitado!",2
289,"@user y vos tan sano",0
290,"@user @user Vaya. No hemos invitado a nadie, la gente sea ido metiendo sola a la conversación.",1
291,"@user @user @user @user @user soy la de atras JAJAJA me meo jo que foto mas chula",2
292,"Me cago en la puta ola de calor que está haciendo  haber si nos morimos",0
293,".@user hola, envié un correo debido a que mi usuario está supendido. Quisiera me ayuden con el inconveniente. Gracias",1
294,"@user en eso estamos claros, pero yo tengo fe en que los ticos somos solidarios cuando mas se necesita",2
295,"@user lo siento Juan ya sabes que soy hetero",0
296,"Yo todo feliz por recibir la orden patronal Y DE AHORA EN ADELANTE VA A SER DIGITAL",1
297,"Tengo hora y media libre en Heredia.",2
298,"por qué el concurso de #SoyJustDancer es solo para españa? @user",0
299,"@user @user ¡Hola, Irene! Para que la participación sea válida tiene que ser a través de Instagram",1
300,"@user @user Bien! Yo no se que tiene el mundo en contra de la tercera generación  Mi fav es la primera pero merece la pena.",2
301,"@user @user mis amigos hablando jodes .... K bonita amistad",0
302,". @user necesito el libro de @user. Y también esa obra q os comento que no acabo de localizar. En breve, pasaré a veros",1
303,"Buenos dias, vamos a hacer algunos recados y a empezar el dia con energia!!",2
304,"@user ni tu como soportas el calor sevillano hija mía",0
305,"El viernes dejo de ver a muchas personas por un buen tiempo y ah la",1
306,"Buen partido a todos @user , suerte en la final de losers y a ver si nos volvemos a ver en la gran final. Saludo a esos casters",2
307,"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no",0
308,"A las 17:30 pillo el bus",1
309,"@user Pablo de día y Paula de noche  Aquí me tenéis. Un verdadero placer chic@s!",2
310,"@user @user @user lo mas gracioso es que diciendo esas cosas solo fomenta aun mas el odio hacia el feminismo",0
311,"Tres cosas para lo que no soy buena: 1- cocinar 2- maquillaje 3- cantar. Pero así me quieren",1
312,"@user 👍🏻 aunque mejor todavía no tener caja tonta.  Desde que no veo la tele el día me cunde mucho más",2
313,"@user @user ya lo sé, pobre Uno  Te acompaño en los feels",0
314,"@user Seguirme es lo único que tienes que hacer.",1
315,"@user Toca un tema maravilloso, porque sin dejar de ser ficción es algo que podría darse. Un Gran Hermano vol.02",2
316,"Terminarán odiándome, como casi todos los padres que me conocen",0
317,"Camino a casa solo fueron 3 chelas",1
318,"Hoy ha hecho un día espléndido. En todos los sentidos.",2
319,"@user Pues tuvo que ser al ponerme el pijama pq últimamente uso vestidos largos. Tengo un ronchón considerable",0
320,"@user igual Diana desearte una feliz navidad espero la pasé muy bien con la familia Dios te dé muchas bendiciones te amamos",1
321,"amo el fanart de roe deer",2
322,"Menciono a Sofía en cosas bonitas y ella me lo paga bloqueandome por wa",0
323,"@user me pasa exactamente lo mismo",1
324,"@user Gracias primito, le haré presente los saludos! Estás invitado si puedes vienes",2
325,"Este día sera, muy pero muy largo ..",0
326,"@user si , tengo q ver, para ir a la clínica tengo q pedir mínimo 2 días de vacaciones xq ni carnet tengo y no tengo dias",1
